,truck_id,duration,fill_volume,n_units,orders,frow_warehouse,route_date,stops,total_distance
0,,,13.619200000000001,273.0,A2nm2jbne7RScEwyP9afvh > 29nwqJyokudc2UbwNgmWFX > YNZmf9oHRh2sNWTftP6bwv > dZevLCBW5rfKhhsDQdKaSH > bwPwTHdKDvd6gXRF9r869v > G6ehq4fKcxLgwijwDUxozG > JUF5FwmGizLMmkE6rCSVtR > 63dgtTqEBZ2EZMB5itUAjS > EtPmaD3APj8aRNeSC3Yx7R > Jg3fpAHnzCJCgADZZkejUq > Myyo8MKikDigamXyxzcM8x,Avignon,2021-01-04,Avignon > Avignon > Nîmes > Montpellier > Marseille > Aix-en-Provence > Cannes > Nice > Annecy > Vénissieux,944.639
0,,,32.7064,258.0,SaSjshXMYZZKendwS8GoVE > d38YugvixtjfCq7j6rFqbB > g22CqTAK6EEkxL4KA3u8oi > BHHe4Z5BhjkUgCkYd4zs4k > kWiRgeg3cS7FbPsTVC5wbn > WvSy56onRffBJbL7YUkWS6 > Q3HkTWxsAkyiVzUZdR6F7i > oFcCDeaXuFAUz3mGcCtvvm > HmwGkKaeXzC2hm4iAXzpjd,Cergy,2021-01-04,Cergy > Colombes > Carrières-sur-Seine > Clichy > Boulogne-Billancourt > Versailles > Rueil-Malmaison > Nanterre,70.089
1,,,67.42259999999999,858.0,UeVqLAt9h6sfuB9AwC3iwD > XwTJK8CWCBpyKWWmxnYcg7 > X5MDVyWx4NodKo9TfZgi74 > 8ztW6dBu6iS8CRGDLXPNCQ > 7aeUWpkbtiEJYDFpW8UAHc > 8AMEz5ETYTcFi5ZL9GDsL3 > PC7kRpjshGQxFmwjRtACjh > eLSjQXUGFKNA4EP3zXGDxm > 9UQhgWxUibbkGHLgMWmXBP > KupPC4Y7bqZTPYzWWFFA27 > gvQLKGUGyjYe53owvWGP2v > nCwZnPNdud95BDXsBJnNQK > Q35urKvoPiEHumHRF5rxje > VY9RSCaPDCZYTUqhGm7vBi > kJZ6GkPJL5neqM7awsRvUp > H8unhr6KeMjCP8orcB3q7b > WagRqy9ekKyv75Jh4qZbWk > LqN2SZyZiqfSXVottYYbiJ > jKNTPdvg44YSGKypYD6Pjy > KXsb3iGBszEvx2dGhGsNqy > VRf7KyokEJMGULphtVT2fL > ewADqgNzYULpNzn86rwdBX > 4jMWAsFMuZg3KthdviFj67 > Q2ujTYZAnSEMAwrrYbysaA > WhGJEsmtPWnwrWGGxPDKCq > VkBL7LnJ6L5NaYe4W6pjfT > 4JGsqZsd34NPPhkUeBwkFY > 2HcHfTin7L3uRAzKX5xtQs,Cergy,2021-01-04,Cergy > Beauvais > Amiens > Calais > Rouen > Caen > Rennes > Saint-Nazaire > Le Mans > Tours > Orléans > Courcouronnes > Antony > Maisons-Alfort > Créteil > Saint-Maur-des-Fossés > Meaux > Aulnay-sous-Bois > Le Blanc-Mesnil > Drancy > Montreuil > Pantin > Aubervilliers > Saint-Denis,1397.294
0,,,27.369300000000003,303.0,gNvydNYZyX6aS2b5FC5uVZ > nAkUcqNLXBSCVv35brwvW7 > X6r8v76WyEedHt2Mgc7NvF > GMWW4EcFrcUWheYeiedPMG > DNsf9Yfdb226zkZgF9Uu6B > NECdkgqQmQ9eDF8waSeT2P > maWApJ2LERTDb3grk4Beuj > D4yawFGDUjB7stVzJrvyur,Montauban,2021-01-04,Montauban > Niort > Bordeaux > Mérignac > Pau > Perpignan > Toulouse,1111.737
0,,,7.5616,176.0,BFeQcFwLa8NRVPThkBhETw > ezJsG9YmgJLuaUjGk6BYmo > im4zcEpuTGUz7byYAgH4tp > ngsh3KW93wBQ5BBBM6ZirW > fJbcngBfeXsundYx5tb8Lw > RFH7DDFhaEQ8x2zEAW3Xtm > T5fTCxXquiqwzqvNfGRGgW > DTQsHFdiFkSccZCJZmyJtg,Reims,2021-01-04,Reims > Nancy > Épinal > Mulhouse > Strasbourg > Metz > Tourcoing,992.276
0,,,9.308499999999999,131.0,aB2HbW2metjvw7BBygwKFh > C4tYjTj63vnucUrcXrmKyw > h5ifjBRZRgieGzBXTekVjV > AL9NBde9n2UBFEh4uTzRE9 > XNDpHCEvsPLEkABDQ35JuU > e8ryMfnwsnmZtMpzt4pkmz,Clermont-Ferrand,2021-01-04,Clermont-Ferrand > Clermont-Ferrand > Villeurbanne > Bourges,533.613
0,,,7.0415,255.0,CxsjqjtWXjpWLNQRf2yxfU > Ct3kgvL9beKNfReCqHXAVU > G5c9XMDpSWUEsSxMgaVxoC > VNQA2dsmV3RhPDAmpiHTTo > SAZxYkfdokcXuYCgbYC2pc > Q3fxX2qNcFigdReBnJDEhK > KX4gpmfQK8G6sfs6gbjMeb > hTaKTbHz7LUkKW9heaLPBQ > ewZZwGBCSHFFh9939iApqQ > TdYmcoDJPuPxXUzwi8Gyof,Avignon,2021-01-03,Avignon > Montélimar > Vénissieux > Annecy > Grenoble > Nice > Cannes > Aix-en-Provence > Béziers,1065.443
0,,,28.454700000000003,805.0,XPgLz3gjCsYkroekPJBmNK > X7Fw4fpZWfyafimV2uwTPe > eJZ8Cj7AUtU7FDQRZQNEZW > HtgDEAgWyRAat6hMyZ4T9e > DquvoEVJFWnqfpT3whQ8iz > XVRkGfSLScyGhqw4BN8hC9 > 7GqhaPU2wnAA4t2yUy9fCq > RNgaKXh8BN9zaVfknRAm2Y > mqZB4N4FVhW2vDN2K5cga7 > 8wzEo4guhyU8ZacfQ2Cvr7 > 4X4RBUwTXGBMVWdEj8Gti4 > YisRfRVyRNHqf5dp36tnh5 > kRATetatbwsaNiyDu9DQxH > MPTggv79tQU4w5cUPnvK2b > iRJs57Q3pWEB4MvsLTgFA3 > mcHTGP5iTeU9qtt7uwgQrL > T48on3t5UkzKjTutK4RohW > W3giPJuvJnAf3Ukrstmqpw > hXUbyYvPPxuGx3DaxedD7t > RFQRpvZB8qNExvqZ8NutQJ > XtP4hVG7NvvSKad6t4CWcp > jeHGPL3Q2SgFaV26yEyC7x > SUWPw5uKB2XTmJkbhRqV4q > YWbNmJciG7RC6zKsgzM4aq > AXoTkCdz2ULtKUekG6d472 > CNknrrNaEb9CnjTnoBLTbS > B3zS8c9G7KvwMPDtQ4gidG > i6FLEs2db4LNAVJv4oddcB,Cergy,2021-01-03,Cergy > Amiens > Boulogne-sur-Mer > Caen > Quimper > Lorient > Le Mans > Versailles > Boulogne-Billancourt > Issy-les-Moulineaux > Ivry-sur-Seine > Antony > Courcouronnes > Créteil > Saint-Maur-des-Fossés > Champigny-sur-Marne > Noisy-le-Grand > Meaux > Drancy > Épinay-sur-Seine > Levallois-Perret > Neuilly-sur-Seine > Nanterre,1399.912
0,,,0.0588,28.0,QUL4HJucH254WBmCRrpjHE,Montauban,2021-01-03,Montauban > Niort,586.884
0,,,16.9344,217.0,UeE4GPJk5KQFvvkM3HTbjF > F6TArv4JCN8yzqqfgGtsr2 > Vt5YezabQqGeUJx3NjZR96 > Jd3QcWTnvkffFUCWgAeBLd > Dk5aAH3dgPxeqG4U8nYjuM > Ev7fkijmWLsKqDnAu934Vd > 5ddY9SV5Czdyb4uTWtfUig,Reims,2021-01-03,Reims > Lille > Metz > Nancy > Mulhouse > Belfort > Dijon,1038.621
