,truck_id,duration,fill_volume,n_units,orders,from_warehouse,route_date,stops,total_distance
0,,,19.651799999999998,340.0,A2nm2jbne7RScEwyP9afvh > 29nwqJyokudc2UbwNgmWFX > YNZmf9oHRh2sNWTftP6bwv > aB2HbW2metjvw7BBygwKFh > Myyo8MKikDigamXyxzcM8x > C4tYjTj63vnucUrcXrmKyw > h5ifjBRZRgieGzBXTekVjV > AL9NBde9n2UBFEh4uTzRE9 > Jg3fpAHnzCJCgADZZkejUq > EtPmaD3APj8aRNeSC3Yx7R > 63dgtTqEBZ2EZMB5itUAjS > dZevLCBW5rfKhhsDQdKaSH > bwPwTHdKDvd6gXRF9r869v > G6ehq4fKcxLgwijwDUxozG > JUF5FwmGizLMmkE6rCSVtR,Avignon,2021-01-04,Avignon > Avignon > Nîmes > Montpellier > Clermont-Ferrand > Vénissieux > Villeurbanne > Annecy > Nice > Cannes > Marseille > Aix-en-Provence,1099.923
1,,,16.3947,60.0,SaSjshXMYZZKendwS8GoVE > d38YugvixtjfCq7j6rFqbB,Cergy,2021-01-04,Cergy > Colombes,37.252
2,,,79.6716,1096.0,HmwGkKaeXzC2hm4iAXzpjd > oFcCDeaXuFAUz3mGcCtvvm > Q3HkTWxsAkyiVzUZdR6F7i > WvSy56onRffBJbL7YUkWS6 > g22CqTAK6EEkxL4KA3u8oi > BHHe4Z5BhjkUgCkYd4zs4k > kWiRgeg3cS7FbPsTVC5wbn > VkBL7LnJ6L5NaYe4W6pjfT > 4JGsqZsd34NPPhkUeBwkFY > 2HcHfTin7L3uRAzKX5xtQs > WhGJEsmtPWnwrWGGxPDKCq > Q2ujTYZAnSEMAwrrYbysaA > 4jMWAsFMuZg3KthdviFj67 > ewADqgNzYULpNzn86rwdBX > VRf7KyokEJMGULphtVT2fL > KXsb3iGBszEvx2dGhGsNqy > jKNTPdvg44YSGKypYD6Pjy > WagRqy9ekKyv75Jh4qZbWk > LqN2SZyZiqfSXVottYYbiJ > H8unhr6KeMjCP8orcB3q7b > kJZ6GkPJL5neqM7awsRvUp > Q35urKvoPiEHumHRF5rxje > VY9RSCaPDCZYTUqhGm7vBi > nCwZnPNdud95BDXsBJnNQK > KupPC4Y7bqZTPYzWWFFA27 > gvQLKGUGyjYe53owvWGP2v > XNDpHCEvsPLEkABDQ35JuU > e8ryMfnwsnmZtMpzt4pkmz > 9UQhgWxUibbkGHLgMWmXBP > 8ztW6dBu6iS8CRGDLXPNCQ > X5MDVyWx4NodKo9TfZgi74 > T5fTCxXquiqwzqvNfGRGgW > DTQsHFdiFkSccZCJZmyJtg > XwTJK8CWCBpyKWWmxnYcg7 > UeVqLAt9h6sfuB9AwC3iwD,Cergy,2021-01-04,Cergy > Nanterre > Rueil-Malmaison > Versailles > Boulogne-Billancourt > Carrières-sur-Seine > Clichy > Saint-Denis > Aubervilliers > Pantin > Montreuil > Drancy > Le Blanc-Mesnil > Aulnay-sous-Bois > Meaux > Saint-Maur-des-Fossés > Créteil > Maisons-Alfort > Antony > Courcouronnes > Orléans > Bourges > Tours > Rouen > Calais > Tourcoing > Amiens > Beauvais,1215.131
3,,,27.369300000000003,303.0,gNvydNYZyX6aS2b5FC5uVZ > nAkUcqNLXBSCVv35brwvW7 > X6r8v76WyEedHt2Mgc7NvF > GMWW4EcFrcUWheYeiedPMG > DNsf9Yfdb226zkZgF9Uu6B > NECdkgqQmQ9eDF8waSeT2P > maWApJ2LERTDb3grk4Beuj > D4yawFGDUjB7stVzJrvyur,Montauban,2021-01-04,Montauban > Niort > Bordeaux > Mérignac > Pau > Perpignan > Toulouse,1111.737
4,,,5.681,86.0,BFeQcFwLa8NRVPThkBhETw > ezJsG9YmgJLuaUjGk6BYmo > im4zcEpuTGUz7byYAgH4tp > ngsh3KW93wBQ5BBBM6ZirW > fJbcngBfeXsundYx5tb8Lw > RFH7DDFhaEQ8x2zEAW3Xtm,Reims,2021-01-04,Reims > Nancy > Épinal > Mulhouse > Strasbourg > Metz,694.741
5,,,9.219199999999999,114.0,8AMEz5ETYTcFi5ZL9GDsL3 > PC7kRpjshGQxFmwjRtACjh > eLSjQXUGFKNA4EP3zXGDxm > 7aeUWpkbtiEJYDFpW8UAHc,Rennes,2021-01-04,Rennes > Rennes > Saint-Nazaire > Le Mans > Caen,587.936
6,,,7.495100000000001,318.0,CxsjqjtWXjpWLNQRf2yxfU > Ct3kgvL9beKNfReCqHXAVU > G5c9XMDpSWUEsSxMgaVxoC > DfN8XqUVeVHjTW3Pat76Tr > MUT2TaTikTsi8FzSCnimxv > VNQA2dsmV3RhPDAmpiHTTo > SAZxYkfdokcXuYCgbYC2pc > Q3fxX2qNcFigdReBnJDEhK > KX4gpmfQK8G6sfs6gbjMeb > hTaKTbHz7LUkKW9heaLPBQ > ewZZwGBCSHFFh9939iApqQ > TdYmcoDJPuPxXUzwi8Gyof,Avignon,2021-01-03,Avignon > Montélimar > Vénissieux > Villeurbanne > Annecy > Grenoble > Nice > Cannes > Aix-en-Provence > Béziers,1071.965
7,,,33.4547,754.0,AXoTkCdz2ULtKUekG6d472 > YWbNmJciG7RC6zKsgzM4aq > CNknrrNaEb9CnjTnoBLTbS > B3zS8c9G7KvwMPDtQ4gidG > i6FLEs2db4LNAVJv4oddcB > RNgaKXh8BN9zaVfknRAm2Y > mqZB4N4FVhW2vDN2K5cga7 > 8wzEo4guhyU8ZacfQ2Cvr7 > 4X4RBUwTXGBMVWdEj8Gti4 > YisRfRVyRNHqf5dp36tnh5 > kRATetatbwsaNiyDu9DQxH > MPTggv79tQU4w5cUPnvK2b > iRJs57Q3pWEB4MvsLTgFA3 > mcHTGP5iTeU9qtt7uwgQrL > T48on3t5UkzKjTutK4RohW > W3giPJuvJnAf3Ukrstmqpw > hXUbyYvPPxuGx3DaxedD7t > RFQRpvZB8qNExvqZ8NutQJ > XtP4hVG7NvvSKad6t4CWcp > jeHGPL3Q2SgFaV26yEyC7x > SUWPw5uKB2XTmJkbhRqV4q > UeE4GPJk5KQFvvkM3HTbjF > X7Fw4fpZWfyafimV2uwTPe > eJZ8Cj7AUtU7FDQRZQNEZW > XPgLz3gjCsYkroekPJBmNK,Cergy,2021-01-03,Cergy > Épinay-sur-Seine > Drancy > Levallois-Perret > Neuilly-sur-Seine > Nanterre > Versailles > Boulogne-Billancourt > Issy-les-Moulineaux > Ivry-sur-Seine > Antony > Courcouronnes > Créteil > Saint-Maur-des-Fossés > Champigny-sur-Marne > Noisy-le-Grand > Meaux > Lille > Boulogne-sur-Mer > Amiens,651.287
8,,,0.0588,28.0,QUL4HJucH254WBmCRrpjHE,Montauban,2021-01-03,Montauban > Niort,586.884
9,,,11.6996,171.0,F6TArv4JCN8yzqqfgGtsr2 > Vt5YezabQqGeUJx3NjZR96 > Jd3QcWTnvkffFUCWgAeBLd > Dk5aAH3dgPxeqG4U8nYjuM > Ev7fkijmWLsKqDnAu934Vd > 5ddY9SV5Czdyb4uTWtfUig,Reims,2021-01-03,Reims > Metz > Nancy > Mulhouse > Belfort > Dijon,748.697
