,truck_id,duration,fill_volume,n_units,orders,from_warehouse,route_date,stops,total_distance
0,,,27.146900000000006,658.0,A2nm2jbne7RScEwyP9afvh > 29nwqJyokudc2UbwNgmWFX > YNZmf9oHRh2sNWTftP6bwv > TdYmcoDJPuPxXUzwi8Gyof > dZevLCBW5rfKhhsDQdKaSH > ewZZwGBCSHFFh9939iApqQ > bwPwTHdKDvd6gXRF9r869v > G6ehq4fKcxLgwijwDUxozG > JUF5FwmGizLMmkE6rCSVtR > hTaKTbHz7LUkKW9heaLPBQ > 63dgtTqEBZ2EZMB5itUAjS > EtPmaD3APj8aRNeSC3Yx7R > KX4gpmfQK8G6sfs6gbjMeb > Q3fxX2qNcFigdReBnJDEhK > VNQA2dsmV3RhPDAmpiHTTo > SAZxYkfdokcXuYCgbYC2pc > Jg3fpAHnzCJCgADZZkejUq > DfN8XqUVeVHjTW3Pat76Tr > MUT2TaTikTsi8FzSCnimxv > C4tYjTj63vnucUrcXrmKyw > h5ifjBRZRgieGzBXTekVjV > AL9NBde9n2UBFEh4uTzRE9 > Myyo8MKikDigamXyxzcM8x > G5c9XMDpSWUEsSxMgaVxoC > aB2HbW2metjvw7BBygwKFh > CxsjqjtWXjpWLNQRf2yxfU > Ct3kgvL9beKNfReCqHXAVU,Avignon,2021-01-04,Avignon > Avignon > Nîmes > Montpellier > Béziers > Marseille > Aix-en-Provence > Cannes > Nice > Grenoble > Annecy > Villeurbanne > Vénissieux > Clermont-Ferrand > Montélimar,1294.06
1,,,79.18180000000001,1387.0,SaSjshXMYZZKendwS8GoVE > d38YugvixtjfCq7j6rFqbB > g22CqTAK6EEkxL4KA3u8oi > BHHe4Z5BhjkUgCkYd4zs4k > WhGJEsmtPWnwrWGGxPDKCq > Q2ujTYZAnSEMAwrrYbysaA > 4jMWAsFMuZg3KthdviFj67 > YWbNmJciG7RC6zKsgzM4aq > ewADqgNzYULpNzn86rwdBX > VRf7KyokEJMGULphtVT2fL > KXsb3iGBszEvx2dGhGsNqy > SUWPw5uKB2XTmJkbhRqV4q > jKNTPdvg44YSGKypYD6Pjy > jeHGPL3Q2SgFaV26yEyC7x > XtP4hVG7NvvSKad6t4CWcp > hXUbyYvPPxuGx3DaxedD7t > RFQRpvZB8qNExvqZ8NutQJ > WagRqy9ekKyv75Jh4qZbWk > LqN2SZyZiqfSXVottYYbiJ > W3giPJuvJnAf3Ukrstmqpw > H8unhr6KeMjCP8orcB3q7b > kJZ6GkPJL5neqM7awsRvUp > kRATetatbwsaNiyDu9DQxH > MPTggv79tQU4w5cUPnvK2b > iRJs57Q3pWEB4MvsLTgFA3 > mcHTGP5iTeU9qtt7uwgQrL > Q35urKvoPiEHumHRF5rxje > VY9RSCaPDCZYTUqhGm7vBi > nCwZnPNdud95BDXsBJnNQK > T48on3t5UkzKjTutK4RohW > KupPC4Y7bqZTPYzWWFFA27 > gvQLKGUGyjYe53owvWGP2v > XNDpHCEvsPLEkABDQ35JuU > e8ryMfnwsnmZtMpzt4pkmz > 9UQhgWxUibbkGHLgMWmXBP > 8ztW6dBu6iS8CRGDLXPNCQ > X7Fw4fpZWfyafimV2uwTPe > eJZ8Cj7AUtU7FDQRZQNEZW > X5MDVyWx4NodKo9TfZgi74 > T5fTCxXquiqwzqvNfGRGgW > DTQsHFdiFkSccZCJZmyJtg > UeE4GPJk5KQFvvkM3HTbjF > XPgLz3gjCsYkroekPJBmNK > XwTJK8CWCBpyKWWmxnYcg7 > UeVqLAt9h6sfuB9AwC3iwD,Cergy,2021-01-04,Cergy > Colombes > Carrières-sur-Seine > Aubervilliers > Pantin > Montreuil > Drancy > Le Blanc-Mesnil > Aulnay-sous-Bois > Meaux > Noisy-le-Grand > Champigny-sur-Marne > Saint-Maur-des-Fossés > Créteil > Maisons-Alfort > Ivry-sur-Seine > Antony > Courcouronnes > Orléans > Bourges > Tours > Rouen > Boulogne-sur-Mer > Calais > Tourcoing > Lille > Amiens > Beauvais,1190.13
2,,,50.3392,523.0,i6FLEs2db4LNAVJv4oddcB > HmwGkKaeXzC2hm4iAXzpjd > oFcCDeaXuFAUz3mGcCtvvm > RNgaKXh8BN9zaVfknRAm2Y > Q3HkTWxsAkyiVzUZdR6F7i > mqZB4N4FVhW2vDN2K5cga7 > 8wzEo4guhyU8ZacfQ2Cvr7 > WvSy56onRffBJbL7YUkWS6 > 4X4RBUwTXGBMVWdEj8Gti4 > YisRfRVyRNHqf5dp36tnh5 > B3zS8c9G7KvwMPDtQ4gidG > CNknrrNaEb9CnjTnoBLTbS > kWiRgeg3cS7FbPsTVC5wbn > VkBL7LnJ6L5NaYe4W6pjfT > 4JGsqZsd34NPPhkUeBwkFY > 2HcHfTin7L3uRAzKX5xtQs > AXoTkCdz2ULtKUekG6d472,Cergy,2021-01-04,Cergy > Nanterre > Rueil-Malmaison > Versailles > Boulogne-Billancourt > Issy-les-Moulineaux > Neuilly-sur-Seine > Levallois-Perret > Clichy > Saint-Denis > Épinay-sur-Seine,79.737
3,,,27.428100000000004,331.0,gNvydNYZyX6aS2b5FC5uVZ > QUL4HJucH254WBmCRrpjHE > nAkUcqNLXBSCVv35brwvW7 > X6r8v76WyEedHt2Mgc7NvF > GMWW4EcFrcUWheYeiedPMG > DNsf9Yfdb226zkZgF9Uu6B > NECdkgqQmQ9eDF8waSeT2P > maWApJ2LERTDb3grk4Beuj > D4yawFGDUjB7stVzJrvyur,Montauban,2021-01-04,Montauban > Niort > Bordeaux > Mérignac > Pau > Perpignan > Toulouse,1111.737
4,,,17.3806,257.0,F6TArv4JCN8yzqqfgGtsr2 > RFH7DDFhaEQ8x2zEAW3Xtm > Vt5YezabQqGeUJx3NjZR96 > BFeQcFwLa8NRVPThkBhETw > ezJsG9YmgJLuaUjGk6BYmo > im4zcEpuTGUz7byYAgH4tp > fJbcngBfeXsundYx5tb8Lw > Jd3QcWTnvkffFUCWgAeBLd > ngsh3KW93wBQ5BBBM6ZirW > Dk5aAH3dgPxeqG4U8nYjuM > Ev7fkijmWLsKqDnAu934Vd > 5ddY9SV5Czdyb4uTWtfUig,Reims,2021-01-04,Reims > Metz > Nancy > Épinal > Strasbourg > Mulhouse > Belfort > Dijon,877.577
5,,,9.454,211.0,8AMEz5ETYTcFi5ZL9GDsL3 > HtgDEAgWyRAat6hMyZ4T9e > 7aeUWpkbtiEJYDFpW8UAHc > 7GqhaPU2wnAA4t2yUy9fCq > eLSjQXUGFKNA4EP3zXGDxm > PC7kRpjshGQxFmwjRtACjh > XVRkGfSLScyGhqw4BN8hC9 > DquvoEVJFWnqfpT3whQ8iz,Rennes,2021-01-04,Rennes > Rennes > Caen > Le Mans > Saint-Nazaire > Lorient > Quimper,829.592
6,,,60.135,118.0,2mxHAEESrkmC4ZsixTXeUj > 8HVw3UYTJFBr8xMRTEo7jM > TXzmjupomgsyBXwSFrbuf6,Avignon,2021-01-08,Avignon > Valence > Nîmes,276.31
7,,,62.71939999999999,548.0,4kXLaKLsptJ8sgtGd7UWaK > 3gh8jUjZqn3mAnrsoUhEt8 > SJwVzC3bjEAqGjEoPNNPpy > 5ARfANdiGyaGPqYmgD2fz5 > iKazKokQjh8KWDkxFP4ovp > FAdHNn63d9DEhjXyqdqnja > n8RBgWvuBT2N9j5xvZRtYa > K3GrmSdHtevMTPrEtpmEiv > a5W5fxCtnK2dKZWuNdALK4 > 57VkHrUT8zffGgFpt8xaRy > QSuW7VfsZ3md24Ugpc3EKh > hH2WoVa49bXqeLVmoQAYYC > 8YUvvptm8zUP8joxfp2W4k > X78Va6yEgQi49ouer9uhPY > YRCF7373V6dHco2svkLhdr > mcy5MdpxHqSzjMxwWURDuw > QcVXTt9w9NSceiqVC3uQ4J > 6zWzKiW3XoeqHFXANQSAaK,Avignon,2021-01-08,Avignon > Aix-en-Provence > Marseille > La Seyne-sur-Mer > Hyères > Cannes > Antibes > Nice,475.545
8,,,58.22870000000001,115.0,EsxsznGvNqPivXJhojRzrt > WkRAHWCi2m3hRhPw7HFFG8 > 5M7QNV2cDdyLn7VAomDcHX,Avignon,2021-01-08,Avignon > Montélimar,135.536
9,,,68.48769999999999,495.0,CyjfmsS2vuvm7xhuJETidG > YcL3xWgSAzCjS7wSiWvTvE > KZsAYGsMSjXPSSTMpt9RxQ > LvXXn3bv5p9HXcFpPM5PTm > BYb8kyVQke72aoUTwBvqEo > iBwLfjZveSJofELEdNwnYx > 6uFjXMKvL5de35arRyHy5x > 5M9v5W26YE2cC9dicJVk5V > fMjDAdKG9PbcJRqadjkCiH > UJDV94JaCWLNcwXHWLqCLZ > 6C4jHkwLDK9Yry4N2JRfSU > 3gPLnsRBP4ywfJACPGpX9n > 8GrsvR3qgcZUWnNRF8tqbn > ACYQWFTz4iMYnG373wwRFg > V3F86uL62a3psFRU8xZpUV > bLvTeKe6TMjhko7w7cCHbm > HFKXurAaZDfpaqGXhSCdHB > 68SMwkbuEGo75Xcvupuzrp > nd6TnjejMR9429LGJHD53J,Avignon,2021-01-08,Avignon > Montpellier > Béziers > Clermont-Ferrand > Saint-Étienne > Lyon > Villeurbanne > Vénissieux > Chambéry > Grenoble,867.044
